,color,fullpath,length
224,Gray and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201452_C066_Proxy.mp4,7.208333
225,Black and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A010_01201453_C067_Proxy.mp4,11.375
226,Black and Gray,E:\CLOUD FILM MEDIA\PROXIES\A010_01201454_C068_Proxy.mp4,8.125
227,Gray and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A010_01201454_C069_Proxy.mp4,13.5
228,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201455_C070_Proxy.mp4,6.25
229,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201455_C071_Proxy.mp4,15.083333
230,Gray and Dolly,E:\CLOUD FILM MEDIA\PROXIES\A010_01201455_C072_Proxy.mp4,14.916667
231,Black and Gray,E:\CLOUD FILM MEDIA\PROXIES\A010_01201456_C073_Proxy.mp4,6.416667
232,Gray and Olive,E:\CLOUD FILM MEDIA\PROXIES\A010_01201456_C074_Proxy.mp4,0.916667
233,LightCoral and MintGreen,E:\CLOUD FILM MEDIA\PROXIES\A010_01201457_C075_Proxy.mp4,7.291667
234,LightCoral and MintGreen,E:\CLOUD FILM MEDIA\PROXIES\A010_01201457_C076_Proxy.mp4,7.708333
235,LightCoral and MintGreen,E:\CLOUD FILM MEDIA\PROXIES\A010_01201458_C077_Proxy.mp4,7.833333
236,Dolly and Pink,E:\CLOUD FILM MEDIA\PROXIES\A010_01201458_C078_Proxy.mp4,7.0
237,Gray and Navy,E:\CLOUD FILM MEDIA\PROXIES\A010_01201459_C079_Proxy.mp4,20.958333
238,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201459_C080_Proxy.mp4,25.958333
239,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201500_C081_Proxy.mp4,48.708333
240,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201502_C082_Proxy.mp4,2.25
241,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201502_C083_Proxy.mp4,4.75
242,Teal and Purple,E:\CLOUD FILM MEDIA\PROXIES\A010_01201504_C084_Proxy.mp4,2.416667
243,Gray and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A010_01201504_C085_Proxy.mp4,5.333333
244,Gray and Navy,E:\CLOUD FILM MEDIA\PROXIES\A010_01201505_C086_Proxy.mp4,44.041667
245,Black and Gray,E:\CLOUD FILM MEDIA\PROXIES\A010_01201519_C087_Proxy.mp4,10.208333
246,DarkRed and Green,E:\CLOUD FILM MEDIA\PROXIES\A010_01201543_C088_Proxy.mp4,6.541667
247,DarkRed and Green,E:\CLOUD FILM MEDIA\PROXIES\A010_01201543_C089_Proxy.mp4,103.916667
248,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201544_C090_Proxy.mp4,46.791667
249,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201545_C091_Proxy.mp4,6.458333
250,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201546_C092_Proxy.mp4,6.916667
251,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201546_C093_Proxy.mp4,3.458333
252,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201546_C094_Proxy.mp4,20.083333
253,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201546_C095_Proxy.mp4,37.708333
254,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201547_C096_Proxy.mp4,33.125
255,Black and Red,E:\CLOUD FILM MEDIA\PROXIES\A010_01201547_C097_Proxy.mp4,37.791667
256,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201547_C098_Proxy.mp4,76.833333
257,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201548_C099_Proxy.mp4,17.416667
258,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201548_C100_Proxy.mp4,12.0
259,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201548_C101_Proxy.mp4,14.083333
260,Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201549_C102_Proxy.mp4,26.916667
261,Black and Red,E:\CLOUD FILM MEDIA\PROXIES\A010_01201549_C103_Proxy.mp4,118.416667
262,Black and Fuchsia,E:\CLOUD FILM MEDIA\PROXIES\A010_01201550_C104_Proxy.mp4,47.666667
263,Black and White,E:\CLOUD FILM MEDIA\PROXIES\A010_01201552_C105_Proxy.mp4,13.166667
264,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201552_C106_Proxy.mp4,10.666667
265,Black and Fuchsia,E:\CLOUD FILM MEDIA\PROXIES\A010_01201552_C107_Proxy.mp4,86.875
266,Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201553_C108_Proxy.mp4,17.041667
267,Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201601_C109_Proxy.mp4,9.0
268,Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201602_C110_Proxy.mp4,20.958333
269,Black and White,E:\CLOUD FILM MEDIA\PROXIES\A010_01201602_C111_Proxy.mp4,6.333333
270,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201602_C112_Proxy.mp4,14.625
271,Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201602_C113_Proxy.mp4,14.875
272,Black and White,E:\CLOUD FILM MEDIA\PROXIES\A010_01201603_C114_Proxy.mp4,10.958333
273,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201603_C115_Proxy.mp4,58.416667
274,Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201603_C116_Proxy.mp4,17.25
275,Black and Navy,E:\CLOUD FILM MEDIA\PROXIES\A010_01201604_C117_Proxy.mp4,5.375
276,Black and Navy,E:\CLOUD FILM MEDIA\PROXIES\A010_01201604_C118_Proxy.mp4,24.125
277,Black and Navy,E:\CLOUD FILM MEDIA\PROXIES\A010_01201605_C119_Proxy.mp4,3.375
278,Black and Navy,E:\CLOUD FILM MEDIA\PROXIES\A010_01201606_C120_Proxy.mp4,2.958333
279,Black and Malibu,E:\CLOUD FILM MEDIA\PROXIES\A010_01201606_C121_Proxy.mp4,8.208333
280,Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201942_C122_Proxy.mp4,3.791667
281,Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201943_C123_Proxy.mp4,58.083333
282,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201945_C124_Proxy.mp4,19.916667
283,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201945_C125_Proxy.mp4,7.875
284,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201945_C126_Proxy.mp4,66.041667
285,Black and Red,E:\CLOUD FILM MEDIA\PROXIES\A010_01201946_C127_Proxy.mp4,46.0
286,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201947_C128_Proxy.mp4,0.333333
287,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201947_C129_Proxy.mp4,9.708333
288,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201948_C130_Proxy.mp4,82.75
289,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201949_C131_Proxy.mp4,26.083333
290,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201950_C132_Proxy.mp4,20.833333
291,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201950_C133_Proxy.mp4,37.791667
292,Black and White,E:\CLOUD FILM MEDIA\PROXIES\A010_01201951_C134_Proxy.mp4,6.25
293,Black and White,E:\CLOUD FILM MEDIA\PROXIES\A010_01201951_C135_Proxy.mp4,34.416667
294,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201951_C136_Proxy.mp4,8.041667
295,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201952_C137_Proxy.mp4,41.708333
296,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201952_C138_Proxy.mp4,31.708333
297,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201953_C139_Proxy.mp4,78.875
298,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201954_C140_Proxy.mp4,68.833333
299,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201957_C141_Proxy.mp4,12.5
300,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201957_C142_Proxy.mp4,7.0
301,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201957_C143_Proxy.mp4,49.416667
302,Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01201958_C144_Proxy.mp4,19.5
303,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201959_C145_Proxy.mp4,10.583333
304,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201959_C146_Proxy.mp4,7.916667
305,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201959_C147_Proxy.mp4,7.833333
306,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201959_C148_Proxy.mp4,21.041667
307,Black and White,E:\CLOUD FILM MEDIA\PROXIES\A010_01202000_C149_Proxy.mp4,27.208333
308,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01202001_C150_Proxy.mp4,4.5
309,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01202001_C151_Proxy.mp4,1.916667
310,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01202001_C152_Proxy.mp4,18.083333
311,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01202001_C153_Proxy.mp4,5.041667
312,Black,E:\CLOUD FILM MEDIA\PROXIES\A010_01202002_C154_Proxy.mp4,65.791667
313,Black and White,E:\CLOUD FILM MEDIA\PROXIES\A010_01202003_C155_Proxy.mp4,38.166667
314,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01202004_C156_Proxy.mp4,32.75
315,Gray and Pink,E:\CLOUD FILM MEDIA\PROXIES\A011_11301732_C001_Proxy.mp4,203.875
316,Gray and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A011_11301736_C002_Proxy.mp4,147.541667
317,Gray and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A011_11301737_C003_Proxy.mp4,152.25
318,Olive and Dolly,E:\CLOUD FILM MEDIA\PROXIES\A011_11301738_C004_Proxy.mp4,54.875
319,Gray and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A011_11301739_C005_Proxy.mp4,134.25
320,Gray and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A011_11301740_C006_Proxy.mp4,27.708333
321,Gray and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A011_11301740_C007_Proxy.mp4,29.541667
322,Gray and Rose,E:\CLOUD FILM MEDIA\PROXIES\A011_11301741_C008_Proxy.mp4,47.083333
323,Gray and White,E:\CLOUD FILM MEDIA\PROXIES\A011_11301742_C009_Proxy.mp4,148.083333
324,Navy and Olive,E:\CLOUD FILM MEDIA\PROXIES\A011_12010310_C018_Proxy.mp4,120.708333
325,Navy and Olive,E:\CLOUD FILM MEDIA\PROXIES\A011_12010312_C019_Proxy.mp4,123.833333
326,Navy and Green,E:\CLOUD FILM MEDIA\PROXIES\A011_12010314_C020_Proxy.mp4,112.583333
327,Navy and Olive,E:\CLOUD FILM MEDIA\PROXIES\A011_12010316_C021_Proxy.mp4,95.666667
328,Black and Navy,E:\CLOUD FILM MEDIA\PROXIES\A011_12010318_C022_Proxy.mp4,281.416667
329,Navy and Green,E:\CLOUD FILM MEDIA\PROXIES\A011_12010323_C023_Proxy.mp4,126.041667
330,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A011_12010325_C024_Proxy.mp4,4.541667
331,Navy and Olive,E:\CLOUD FILM MEDIA\PROXIES\A011_12010326_C025_Proxy.mp4,18.333333
332,Navy and Green,E:\CLOUD FILM MEDIA\PROXIES\A011_12010326_C026_Proxy.mp4,26.625
333,Navy and Green,E:\CLOUD FILM MEDIA\PROXIES\A011_12010327_C027_Proxy.mp4,30.0
334,Navy and Green,E:\CLOUD FILM MEDIA\PROXIES\A011_12010328_C028_Proxy.mp4,21.875
335,Black and Navy,E:\CLOUD FILM MEDIA\PROXIES\A011_12010328_C029_Proxy.mp4,66.375
336,Black and Navy,E:\CLOUD FILM MEDIA\PROXIES\A011_12010330_C030_Proxy.mp4,27.75
337,Navy and Green,E:\CLOUD FILM MEDIA\PROXIES\A011_12010331_C031_Proxy.mp4,5.916667
338,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A011_12011513_C001_Proxy.mp4,12.416667
339,Black and Teal,E:\CLOUD FILM MEDIA\PROXIES\A011_12011514_C002_Proxy.mp4,10.25
340,Black and Teal,E:\CLOUD FILM MEDIA\PROXIES\A011_12011515_C003_Proxy.mp4,7.541667
341,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A011_12011515_C004_Proxy.mp4,6.916667
342,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A011_12011516_C005_Proxy.mp4,5.916667
343,Navy and Olive,E:\CLOUD FILM MEDIA\PROXIES\A011_12011516_C006_Proxy.mp4,4.083333
344,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A011_12011516_C007_Proxy.mp4,2.0
345,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A011_12011516_C008_Proxy.mp4,1.125
346,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A011_12011516_C009_Proxy.mp4,1.166667
347,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A011_12011522_C010_Proxy.mp4,21.5
348,Black and Gray,E:\CLOUD FILM MEDIA\PROXIES\A011_12011522_C011_Proxy.mp4,6.041667
349,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A011_12011522_C012_Proxy.mp4,9.0
350,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A011_12011523_C013_Proxy.mp4,9.75
351,Black and Gray,E:\CLOUD FILM MEDIA\PROXIES\A011_12011524_C014_Proxy.mp4,11.833333
352,Dolly and Pink,E:\CLOUD FILM MEDIA\PROXIES\A011_12011526_C015_Proxy.mp4,1.375
353,Dolly and Pink,E:\CLOUD FILM MEDIA\PROXIES\A011_12011526_C016_Proxy.mp4,5.416667
354,Dolly and Red,E:\CLOUD FILM MEDIA\PROXIES\A011_12011526_C017_Proxy.mp4,5.541667
355,Dolly and Black,E:\CLOUD FILM MEDIA\PROXIES\A011_12011527_C018_Proxy.mp4,2.666667
356,Dolly and Black,E:\CLOUD FILM MEDIA\PROXIES\A011_12011527_C019_Proxy.mp4,5.125
357,Dolly and Black,E:\CLOUD FILM MEDIA\PROXIES\A011_12011527_C020_Proxy.mp4,4.375
358,Dolly and Pink,E:\CLOUD FILM MEDIA\PROXIES\A011_12011527_C021_Proxy.mp4,4.708333
359,Dolly and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A011_12011527_C022_Proxy.mp4,3.708333
360,Dolly and Orange,E:\CLOUD FILM MEDIA\PROXIES\A011_12011528_C023_Proxy.mp4,5.208333
361,Dolly and Teal,E:\CLOUD FILM MEDIA\PROXIES\A011_12011528_C024_Proxy.mp4,2.458333
362,Gray and Rose,E:\CLOUD FILM MEDIA\PROXIES\A011_12011529_C025_Proxy.mp4,35.041667
363,Gray,E:\CLOUD FILM MEDIA\PROXIES\A011_12011530_C026_Proxy.mp4,16.791667
364,Gray and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A011_12011530_C027_Proxy.mp4,5.875
365,Gray and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A011_12011531_C028_Proxy.mp4,63.791667
366,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A011_12011555_C029_Proxy.mp4,7.125
367,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A011_12011555_C030_Proxy.mp4,10.5
368,Gray and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A011_12011555_C031_Proxy.mp4,7.166667
369,Gray and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A011_12011556_C032_Proxy.mp4,8.208333
370,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A011_12011556_C033_Proxy.mp4,5.916667
371,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A011_12011556_C034_Proxy.mp4,13.125
372,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A011_12011557_C035_Proxy.mp4,11.625
373,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A011_12011557_C036_Proxy.mp4,16.208333
374,Gray and White,E:\CLOUD FILM MEDIA\PROXIES\A012_10261444_C001_Proxy.mp4,105.958333
375,Pink and MintGreen,E:\CLOUD FILM MEDIA\PROXIES\A012_10261447_C002_Proxy.mp4,99.583333
376,Gray and White,E:\CLOUD FILM MEDIA\PROXIES\A012_10261449_C003_Proxy.mp4,16.0
377,LightCoral and Anakiwa,E:\CLOUD FILM MEDIA\PROXIES\A012_10261449_C004_Proxy.mp4,42.958333
378,Gray and White,E:\CLOUD FILM MEDIA\PROXIES\A012_10261451_C005_Proxy.mp4,28.958333
379,Gray and White,E:\CLOUD FILM MEDIA\PROXIES\A012_10261452_C006_Proxy.mp4,31.0
380,Gray and White,E:\CLOUD FILM MEDIA\PROXIES\A012_10261453_C007_Proxy.mp4,18.625
381,Gray and White,E:\CLOUD FILM MEDIA\PROXIES\A012_10261453_C008_Proxy.mp4,31.041667
382,Gray and White,E:\CLOUD FILM MEDIA\PROXIES\A012_10261454_C009_Proxy.mp4,24.708333
383,Gray and White,E:\CLOUD FILM MEDIA\PROXIES\A012_10261454_C010_Proxy.mp4,36.583333
384,Gray and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A012_10261458_C011_Proxy.mp4,37.75
385,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A012_10261504_C012_Proxy.mp4,32.333333
386,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A012_10261505_C013_Proxy.mp4,10.083333
387,Gray and Green,E:\CLOUD FILM MEDIA\PROXIES\A012_10261505_C014_Proxy.mp4,70.875
388,Gray and Green,E:\CLOUD FILM MEDIA\PROXIES\A012_10261507_C015_Proxy.mp4,72.083333
389,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A012_10261511_C016_Proxy.mp4,28.541667
390,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A012_10261511_C017_Proxy.mp4,35.75
391,Teal and Purple,E:\CLOUD FILM MEDIA\PROXIES\A012_10261513_C018_Proxy.mp4,49.875
392,Gray and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A012_10261516_C019_Proxy.mp4,7.208333
393,Gray and White,E:\CLOUD FILM MEDIA\PROXIES\A012_10261529_C020_Proxy.mp4,15.291667
394,Teal and Malibu,E:\CLOUD FILM MEDIA\PROXIES\A012_10261529_C021_Proxy.mp4,8.5
395,Gray and Pink,E:\CLOUD FILM MEDIA\PROXIES\A012_10261530_C022_Proxy.mp4,59.375
396,Gray and White,E:\CLOUD FILM MEDIA\PROXIES\A012_10261532_C023_Proxy.mp4,16.916667
397,LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A012_11291815_C024_Proxy.mp4,18.166667
398,White,E:\CLOUD FILM MEDIA\PROXIES\A012_11291815_C025_Proxy.mp4,108.5
399,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A012_11291817_C026_Proxy.mp4,13.625
400,Gray,E:\CLOUD FILM MEDIA\PROXIES\A012_11291819_C027_Proxy.mp4,21.916667
401,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A012_11291819_C028_Proxy.mp4,21.916667
402,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A012_11291820_C029_Proxy.mp4,10.166667
403,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A012_11291820_C030_Proxy.mp4,20.166667
404,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A012_11291820_C031_Proxy.mp4,10.458333
405,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A012_11291822_C032_Proxy.mp4,48.75
406,Gray and Anakiwa,E:\CLOUD FILM MEDIA\PROXIES\A012_11291823_C033_Proxy.mp4,147.666667
407,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A012_11291848_C034_Proxy.mp4,32.833333
408,LightCoral and Anakiwa,E:\CLOUD FILM MEDIA\PROXIES\A012_11291937_C035_Proxy.mp4,70.208333
409,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A012_11291941_C036_Proxy.mp4,9.708333
410,Gray and Navy,E:\CLOUD FILM MEDIA\PROXIES\A012_11291941_C037_Proxy.mp4,4.458333
411,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A012_11291942_C038_Proxy.mp4,3.833333
412,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A012_11291942_C039_Proxy.mp4,30.25
413,Gray and Navy,E:\CLOUD FILM MEDIA\PROXIES\A012_11291942_C040_Proxy.mp4,99.708333
414,Black and Gray,E:\CLOUD FILM MEDIA\PROXIES\A012_11291944_C041_Proxy.mp4,13.291667
415,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A012_11291944_C042_Proxy.mp4,7.083333
416,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A012_11291945_C043_Proxy.mp4,30.958333
417,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A012_11291945_C044_Proxy.mp4,2.708333
418,Gray and Navy,E:\CLOUD FILM MEDIA\PROXIES\A012_11291946_C045_Proxy.mp4,18.791667
419,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A012_11291946_C046_Proxy.mp4,13.583333
420,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A012_11291946_C047_Proxy.mp4,27.791667
421,Gray and Navy,E:\CLOUD FILM MEDIA\PROXIES\A012_11291947_C048_Proxy.mp4,1.0
422,Gray and Navy,E:\CLOUD FILM MEDIA\PROXIES\A012_11291947_C049_Proxy.mp4,4.0
423,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A012_11291947_C050_Proxy.mp4,35.541667
424,Dolly and Pink,E:\CLOUD FILM MEDIA\PROXIES\A012_11291951_C051_Proxy.mp4,22.208333
425,LightCoral and Anakiwa,E:\CLOUD FILM MEDIA\PROXIES\A012_11291952_C052_Proxy.mp4,4.0
426,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A012_11291952_C053_Proxy.mp4,21.625
427,White and Gray,E:\CLOUD FILM MEDIA\PROXIES\A012_11291952_C054_Proxy.mp4,9.166667
428,Teal and Black,E:\CLOUD FILM MEDIA\PROXIES\A012_11291953_C055_Proxy.mp4,29.125
429,White and Dolly,E:\CLOUD FILM MEDIA\PROXIES\A012_11291954_C056_Proxy.mp4,6.666667
430,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A012_11291954_C057_Proxy.mp4,9.0
431,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A012_11291955_C058_Proxy.mp4,6.916667
432,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A012_11291955_C059_Proxy.mp4,10.041667
433,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A012_11291956_C060_Proxy.mp4,8.041667
434,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A012_11291956_C061_Proxy.mp4,4.583333
435,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A012_11291956_C062_Proxy.mp4,5.208333
436,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A012_11291956_C063_Proxy.mp4,3.708333
437,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A012_11291956_C064_Proxy.mp4,4.5
438,White and Gray,E:\CLOUD FILM MEDIA\PROXIES\A012_11291957_C065_Proxy.mp4,22.708333
439,White and Dolly,E:\CLOUD FILM MEDIA\PROXIES\A012_11291957_C066_Proxy.mp4,12.333333
440,White and Dolly,E:\CLOUD FILM MEDIA\PROXIES\A012_11291958_C067_Proxy.mp4,21.416667
441,Dolly and Malibu,E:\CLOUD FILM MEDIA\PROXIES\A012_11291958_C068_Proxy.mp4,15.041667
442,White and Dolly,E:\CLOUD FILM MEDIA\PROXIES\A012_11292000_C069_Proxy.mp4,15.791667
443,LightCoral and Anakiwa,E:\CLOUD FILM MEDIA\PROXIES\A012_11292001_C070_Proxy.mp4,72.0
444,Teal and Dolly,E:\CLOUD FILM MEDIA\PROXIES\A012_11292002_C071_Proxy.mp4,12.208333
445,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A012_11292005_C072_Proxy.mp4,45.375
446,Teal and Purple,E:\CLOUD FILM MEDIA\PROXIES\A012_11292006_C073_Proxy.mp4,28.541667
